# BAM files: ~/data/SOC/SOC-2745-226696.bam, ~/data/SOC/SOC-2774-227362.bam, ~/data/SOC/SOC-5936-294158.bam, ~/data/SOC/SOC-6075-291944.bam, ~/data/SOC/SOC-6752-315581.bam, ~/data/SOC/SOC-7165-343100.bam, ~/data/SOC/SOC-7637-361542.bam, ~/data/SOC/SOC-7777-371281.bam, ~/data/SOC/SOC-8272-401299.bam, ~/data/SOC/SOC-11199-480891.bam, ~/data/SOC/SOC-849-206653.bam, ~/data/SOC/SOC-1255-501160.bam, ~/data/SOC/SOC-2427-221981.bam, ~/data/SOC/SOC-2674-224814.bam, ~/data/SOC/SOC-2742-225553.bam, ~/data/SOC/SOC-4808-260525.bam, ~/data/SOC/SOC-5439-266610.bam, ~/data/SOC/SOC-5606-277617.bam, ~/data/SOC/SOC-5653-277626.bam, ~/data/SOC/SOC-5691-278006.bam
# phenotypes: chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive
# total alignments: 14612031, 106336729, 18330606, 112217237, 14635266, 15379488, 12814697, 13461028, 17491779, 16221093, 14494734, 13801318, 14949521, 18045259, 17407390, 15334240, 14903259, 13804476, 18588809, 18601214
# annotations: /home/cwarth/R/x86_64-unknown-linux-gnu-library/3.0/qarp/python/hg19-refSeq-union.gtf
# gene count: 16897
# interactive: FALSE
# commandline: --genefile /home/cwarth/data/SOC/genelist.txt
# date: 2013-11-15 09:48:38
gene	raw	rpm	area
FLT1	0.406	0.042	0.226
FUCA1	0.189	0.639	0.057
HIST2H2BE	0.303	0.466	0.029
HPD	0.325	0.437	0.086
HPS4	0.338	0.106	0.034
HSDL1	0.174	0.72	0.125
INO80D	0.471	0.035	0.294
KDM1B	0.463	0.056	0.16
LOC339290	0.432	0.583	0.103
MAFB	0.545	0.203	0.124
MTAP	0.432	0.013	0.041
NIP7	0.422	0.073	0.457
NPHP4	0.021	0.203	0.056
NR1I3	0.711	0.589	0.955
NTN1	0.135	0.526	0.001
NUPL1	0.215	0.169	0.071
PKNOX1	0.097	0.379	0.084
POLR2J2:UPK3BL	0.595	0.926	0.807
SAR1B	0.33	0.055	0.009
SDCCAG8	0.53	0.958	0.955
SNRNP25	0.143	0.903	0.82
TAF1D	0.69	0.099	0.187
TGFBR3	0.101	0.637	0.023
TMEM186	0.405	0.056	0.061
ZNF525	0.093	0.139	0.045
ABCB10	0.371	0.057	0.039
AGAP11:C10orf116	0.392	0.633	0.665
ARHGAP20	0.929	0.991	0.415
ARL3	0.105	0.679	0.089
B4GALT2	0.597	0.063	0.083
C19orf52	0.049	0.49	0.018
C22orf32	0.398	0.842	0.279
CDYL	0.457	0.046	0.215
DHX58	0.184	0.025	0.276
FBXL12	0.001	0.035	0.238
FDX1L	0.022	0.318	0.047
GNB5	0.134	0.559	0.03
HKR1	0.593	0.052	0.553
KCTD21	0.368	0.169	0.152
KIAA0114:SNORA26	0.675	0.127	0.306
KIAA1143	0.148	0.079	0.008
KLHL5	0.584	0.122	0.728
LBR	0.786	0.083	0.473
LOC255130	0.043	0.297	0.284
MAN1B1	0.373	0.644	0.496
MFSD11	0.328	0.031	0.004
MIR4315-1:MIR4315-2:PLEKHM1	0.336	0.242	0.157
NDEL1	0.08	0.274	0.038
NSUN5P1	0.035	0.092	0.798
PDCL3	0.609	0.051	0.15
PHLPP2:SNORA70D	0.475	0.067	0.123
POC1A	0.384	0.302	0.357
PPAPDC2	0.792	0.292	0.457
RPAP3	0.455	0.035	0.039
SNX13	0.334	0.468	0.157
SOCS4	0.326	0.059	0.031
SSX2IP	0.426	0.266	0.106
STAM	0.241	0.202	0.035
SUMF1	0.407	0.315	0.028
TASP1	0.388	0.217	0.142
TPBG	0.274	0.655	0.298
TUBGCP3	0.05	0.2	0.032
TYROBP	0.73	0.241	0.473
VKORC1	0.042	0.373	0.082
ZNF440	0.094	0.405	0.334
ZNF75D	0.357	0.533	0.272
ACTR10	0.372	0.223	0.207
ADNP2	0.351	0.182	0.131
C7orf40:SNORA9	0.101	0.552	0.01
C9orf6	0.719	0.072	0.486
CCHCR1	0.588	0.269	0.013
CD4	0.635	0.061	0.206
CHD1	0.142	0.95	0.432
CPEB4	0.559	0.731	0.067
DFNB59:MIR548N:OSBPL6:PLEKHA3	0.476	0.129	0.186
DPH2	0.477	0.072	0.019
EIF4ENIF1	0.544	0.011	0.091
EPHX2	0.034	0.111	0.041
GPR108	0.221	0.778	0.402
GRPEL1	0.337	0.005	0.4
KIAA1731:SCARNA9	0.17	0.747	0.721
KIFC3	0.468	0.852	0.516
KLHL15	0.032	0.202	0.174
LCMT2	0.369	0.037	0.011
MIER1	0.369	0.353	0.697
MIR101-2:RCL1	0.473	0.331	0.161
MIR548AA1:PALMD	0.517	0.86	0.567
NDC80	0.166	0.013	0.619
NFIL3	0.233	0.804	0.252
NFKBIL1	0.663	0.079	0.035
NFU1	0.349	0.554	0.58
NIPAL2	0.551	0.146	0.6
PHTF1	0.38	0.573	0.207
PM20D2	0.342	0.128	0.073
PPP3CB	0.417	0.35	0.61
RGP1	0.214	0.463	0.038
SCRN2	0.16	0.724	0.209
SLC35B1	0.471	0.039	0.666
TP53I3	0.26	0.865	0.697
UBL3	0.148	0.819	0.382
YARS2	0.399	0.015	0.213
ZW10	0.479	0.215	0.238
ALDH5A1	0.402	0.007	0.049
BARD1	0.526	0.199	0.049
C1orf172	0.051	0.289	0.457
C1orf35	0.241	0.681	0.336
CAMK1	0.054	0.214	0.023
CAMLG	0.189	0.71	0.012
CD320	0.002	0.034	0.272
COMMD7	0.365	0.133	0.009
DNA2	0.558	0.772	0.738
DZIP1	0.49	0.437	0.141
F2RL1	0.275	0.984	0.951
FDX1	0.622	0.184	0.171
GALK2:LOC100306975	0.404	0.559	0.254
GPN2	0.026	0.416	0.579
ID1	0.95	0.916	0.653
KIF2C	0.522	0.006	0.112
MLKL	0.484	0.31	0.15
PIGG	0.633	0.052	0.154
PTPRE	0.359	0.292	0.564
PVRL3	0.412	0.286	0.068
ROR1	0.212	0.439	0.404
SEC61A2	0.737	0.003	0.698
SGOL1	0.4	0.024	0.019
SLC35A1	0.612	0.107	0.135
SLC5A2	0.049	0.268	0.119
SMARCA2	0.847	0.951	0.248
SRD5A1	0.08	0.573	0.247
SYT15	0.341	0.974	0.43
TFAP4	0.015	0.077	0.478
TMEM231	0.088	0.335	0.046
TRIM59	0.234	0.372	0.214
WHAMM	0.03	0.035	0.011
ZNF189	0.507	0.165	0.727
ZNF32	0.222	0.905	0.482
ZNF44	0.087	0.455	0.009
ACSF3	0.26	0.485	0.072
AGGF1	0.253	0.725	0.343
AMZ2	0.502	0.218	0.089
ANKRD26	0.233	0.675	0.386
BATF2	0.441	0.241	0.718
C19orf24	0.024	0.379	0.164
CACNG4	0.601	0.274	0.27
CCDC88B	0.175	0.63	0.127
CHRM3	0.101	0.283	0.616
DNAH2:RPL29P2	0.049	0.091	0.536
DNAJC30	0.166	0.316	0.018
DUSP6	0.564	0.165	0.04
EHHADH	0.158	0.427	0.29
FAM120B	0.372	0.043	0.045
HEYL	0.012	0.026	0.111
KIAA1715	0.313	0.48	0.215
LOC100129148	0.431	0.064	0.076
MAP3K9	0.168	0.133	0.056
MED26	0.129	0.33	0.019
MIR3914-2:WBSCR17	0.854	0.273	0.361
PARVG	0.705	0.443	0.555
PDLIM2	0.004	0.03	0.065
PSMD12	0.445	0.027	0.513
PTRH1	0.108	0.492	0.413
RARS2	0.798	0.005	0.044
RMND1	0.337	0.379	0.312
RNF25	0.053	0.449	0.27
S100A4	0.667	0.181	0.401
SNED1	0.023	0.062	0.052
SYDE1	0.001	0.006	0.153
ZNF205	0.03	0.278	0.185
ZNF626	0.072	0.168	0.521
ABCB7	0.377	0.038	0.024
APC	0.244	0.691	0.21
ARRDC4	0.185	0.499	0.555
ARSJ	0.113	0.178	0.365
AURKB	0.231	0.228	0.671
C22orf46	0.54	0.174	0.182
C6orf125	0.67	0.091	0.427
CDC6	0.468	0.051	0.36
CDHR1	0.28	0.77	0.093
CKMT2:RASGRF2:RNU5D:RNU5E:ZCCHC9	0.097	0.454	0.028
CNTNAP1	0.001	0.002	0.415
FAM117B	0.246	0.32	0.069
GPSM3:NOTCH4	0.778	0.074	0.319
HAS3	0.444	0.129	0.476
JKAMP	0.502	0.059	0.218
KLHL26	0.053	0.185	0.097
LOC151009	0.365	0.332	0.067
LSP1	0.145	0.017	0.628
MIOS	0.33	0.592	0.662
MPHOSPH9	0.462	0.092	0.112
MRPL44	0.392	0.001	0.121
PIK3CA	0.734	0.146	0.837
RRP15	0.184	0.106	0.012
SCAI	0.214	0.042	0.018
SLC12A8	0.235	0.362	0.024
SMARCAL1	0.412	0.426	0.89
SMTNL1	0.25	0.132	0.32
THOC5	0.362	0.313	0.111
TMEM126B	0.79	0.312	0.934
VWA2	0.066	0.166	0.652
ZNF528	0.4	0.671	0.026
ZNF827	0.338	0.258	0.225
AFG3L1P	0.188	0.166	0.003
AFMID	0.026	0.156	0.101
C17orf49	0.072	0.376	0.141
C19orf22	0.211	0.671	0.14
C20orf118	0.213	0.009	0.201
C5orf44	0.446	0.246	0.412
CCDC123	0.073	0.459	0.059
CCDC142	0.021	0.018	0.015
CCNA2	0.605	0.069	0.563
EAPP	0.417	0.326	0.809
FAM158A	0.68	0.978	0.884
FAM63B	0.156	0.374	0.101
FBXO9	0.653	0.001	0.105
GPR180	0.332	0.906	0.719
HERPUD2	0.185	0.573	0.1
INO80E	0.063	0.42	0.009
KCNJ12:KCNJ18	0.327	0.612	0.448
LOC100130093	0.408	0.26	0.077
LOC221442:NFYA	0.43	0.316	0.342
MAD2L2	0.297	0.82	0.241
MIR1204:MIR1205:MIR1206:MIR1207:PVT1	0.426	0.078	0.692
MSRB2	0.376	0.319	0.051
MTF2	0.147	0.825	0.35
POLR2I	0.233	0.913	0.661
POLR2J	0.339	0.601	0.291
PPM1F	0.235	0.235	0.007
PRKAB1	0.389	0.104	0.136
RET	0.091	0.199	0.117
RNASEH2B	0.332	0.134	0.01
RNF115	0.487	0.153	0.171
RPP21:TRIM39:TRIM39-RPP21	0.442	0.03	0.742
SLC5A1	0.029	0.027	0.735
SLC9A4	0.225	0.464	0.035
SPC24	0.431	0.814	0.186
TRIAP1	0.447	0.112	0.59
TRIM4	0.038	0.229	0.561
UFSP2	0.115	0.389	0.093
XPO4	0.297	0.419	0.193
ZNF581	0.406	0.045	0.112
ACTR3B	0.441	0.285	0.145
ATP5SL	0.021	0.098	0.004
C16orf63	0.257	0.361	0.099
CKLF	0.793	0.108	0.374
COMMD5	0.663	0.005	0.096
DEDD2	0.278	0.563	0.142
DGCR6L	0.623	0.257	0.244
DNALI1	0.436	0.478	0.292
DOLPP1	0.413	0.67	0.729
DTL:MIR3122	0.466	0.312	0.188
E2F7	0.123	0.219	0.641
EPB41L5	0.513	0.04	0.032
FBXL18:MIR589	0.039	0.021	0.397
GFER	0.118	0.479	0.374
HOXB4	0.173	0.46	0.207
IL15RA	0.37	0.283	0.37
KIAA0391	0.49	0.019	0.516
LARP6	0.133	0.364	0.084
MGAT5	0.443	0.641	0.309
MKNK1	0.677	0.085	0.184
MLLT3	0.856	0.313	0.384
PDIA5	0.475	0.004	0.008
PIGF	0.331	0.561	0.804
RAD1	0.256	0.22	0.015
RBM18	0.249	0.458	0.131
SNRK	0.172	0.929	0.114
SORBS2	0.028	0.177	0.709
TMEM192	0.241	0.399	0.152
TMUB2	0.197	0.491	0.078
C16orf80	0.255	0.4	0.091
C9orf167	0.021	0.008	0.328
C9orf30:C9orf30-TMEFF1:TMEFF1	0.369	0.859	0.744
CD109	0.269	0.002	0.01
CHAF1B	0.482	0.537	0.508
CROCCP2	0.037	0.234	0.732
CRYZ	0.506	0.315	0.673
DCLRE1A	0.573	0.248	0.596
FAM125A	0.048	0.212	0.34
FAM179B	0.543	0.074	0.666
FLJ36031	0.485	0.139	0.152
GSTZ1	0.793	0.118	0.376
HBXIP	0.486	0.106	0.286
HS2ST1	0.473	0.297	0.88
IGSF3	0.123	0.283	0.129
IQCE	0.046	0.212	0.099
LOC150776	0.454	0.29	0.132
METT10D	0.329	0.132	0.036
NSDHL	0.794	0.027	0.249
PHF16	0.186	0.982	0.803
PXK	0.072	0.464	0.045
SLC17A5	0.43	0.019	0.299
SLC25A24	0.399	0.442	0.435
SLC2A6	0.167	0.532	0.065
STRN	0.469	0.086	0.138
TNK2	0.328	0.72	0.2
TRAPPC5	0.092	0.41	0.008
WDFY2	0.147	0.661	0.119
WDR85	0.381	0.355	0.102
YTHDC2	0.587	0.09	0.089
ZNF91	0.08	0.381	0.088
ADCK5	0.437	0.094	0.28
BRE:MIR4263	0.52	0.11	0.323
C17orf90	0.762	0.417	0.349
CDC42EP3	0.031	0.123	0.347
CDKN2B	0.684	0.445	0.132
DPY19L1	0.118	0.67	0.416
EBPL	0.282	0.931	0.538
EPB41L4B	0.62	0.193	0.43
FAHD1	0.335	0.214	0.097
KLHL35	0.691	0.731	0.412
LACTB2	0.797	0.098	0.795
NXT1	0.279	0.258	0.007
OVOL2	0.482	0.298	0.448
PCDHB2	0.283	0.391	0.596
PDZK1IP1	0.923	0.638	0.028
POLQ	0.614	0.031	0.277
RAP1GDS1	0.402	0.218	0.135
SERINC4	0.066	0.29	0.045
SIRT5	0.468	0.181	0.151
TAF8	0.162	0.002	0.005
TRAF2	0.754	0.241	0.126
TREX1	0.272	0.693	0.591
TRIM16	0.139	0.328	0.081
UPF3B	0.636	0.009	0.497
WNT7B	0.103	0.231	0.776
ZBTB3	0.079	0.076	0.341
ZNF227	0.346	0.659	0.392
ZNF92	0.289	0.643	0.242
BLVRB	0.247	0.88	0.701
C11orf82	0.207	0.875	0.445
C19orf70	0.036	0.334	0.611
C5orf45	0.05	0.266	0.412
CCDC22	0.461	0.315	0.01
CCDC41	0.367	0.332	0.271
DOK5	0.597	0.142	0.419
EPB49	0.214	0.414	0.255
FAM111B	0.596	0.142	0.045
FERMT3	0.434	0.112	0.108
HEBP2	0.651	0.028	0.107
KIAA1683	0.173	0.295	0.879
KRT5	0.282	0.668	0.688
LRRN1	0.046	0.17	0.251
MAP3K14	0.518	0.676	0.551
MBTD1	0.327	0.61	0.294
MIR107:PANK1	0.846	0.038	0.247
MIR569:TNIK	0.752	0.494	0.567
MRPL10	0.16	0.482	0.13
MRPL34	0.298	0.489	0.12
MYO7A	0.813	0.289	0.538
NDUFC1	0.116	0.001	0.184
NR4A3	0.234	0.243	0.112
NUDT16P1	0.437	0.32	0.82
NUF2	0.672	0.047	0.416
PLEKHF2	0.429	0.05	0.414
POLR1C	0.541	0.001	0.038
PRPSAP2	0.495	0.027	0.038
RAD17	0.083	0.433	0.111
RCN3	0.024	0.096	0.536
SASH1	0.285	0.093	0.014
SLC35E3	0.07	0.107	0.003
SMARCD3	0.575	0.746	0.135
STEAP1	0.871	0.412	0.608
TMEM223	0.345	0.536	0.556
TOR1A	0.415	0.037	0.047
UBTD2	0.132	0.702	0.261
UROD	0.305	0.278	0.042
VPS54	0.402	0.1	0.425
WDR4	0.59	0.109	0.294
ZNF224	0.73	0.083	0.504
ZNF767	0.607	0.283	0.539
ZNF789	0.443	0.109	0.542
ZNHIT6	0.338	0.307	0.405
ADA	0.221	0.319	0.015
ARHGEF3	0.886	0.269	0.28
ARVCF	0.207	0.851	0.182
B4GALNT3	0.214	0.84	0.309
C9orf142	0.061	0.876	0.89
CACNB3	0.324	0.557	0.091
CCNE1	0.273	0.088	0.116
CDC34	0.099	0.772	0.112
DFNB31	0.047	0.293	0.141
DHRS4	0.398	0.932	0.391
EML1	0.346	0.741	0.245
GALNS	0.03	0.275	0.126
GPR124	0.028	0.094	0.227
LOC100499177	0.404	0.377	0.57
LOC100506046	0.454	0.789	0.41
LOC388796:SNORA71A:SNORA71B:SNORA71C:SNORA71D	0.537	0.038	0.251
MET	0.117	0.535	0.103
MITF	0.265	0.548	0.338
PHF1	0.279	0.405	0.007
PIM1	0.412	0.561	0.076
PLSCR4	0.385	0.955	0.825
RASGEF1A	0.669	0.45	0.044
RNF141	0.249	0.268	0.121
SLC39A3	0.319	0.588	0.481
SLC9A6	0.678	0.026	0.234
UNC50	0.515	0.048	0.22
ZNF12	0.087	0.55	0.201
ZNF192	0.469	0.057	0.105
ZNF264	0.148	0.037	0.015
ZNF281	0.29	0.859	0.31
ZNF490	0.021	0.04	0.126
AGL	0.554	0.047	0.264
ALG12	0.166	0.377	0.012
ARFIP1	0.518	0.017	0.113
C16orf5	0.005	0.035	0.07
C17orf86:SCARNA16	0.417	0.048	0.128
CCDC8	0.13	0.382	0.175
CD27	0.223	0.434	0.036
CHML:OPN3	0.54	0.635	0.432
CSNK1G3	0.245	0.426	0.132
DDI2:RSC1A1	0.377	0.071	0.093
DIP2C	0.146	0.568	0.94
DND1	0.299	0.562	0.349
DOLK	0.108	0.531	0.242
EFEMP1	0.157	0.249	0.045
ELP3	0.479	0.071	0.049
ENPP2	0.457	0.501	0.07
FAM71E1	0.833	0.287	0.753
FAS	0.515	0.218	0.004
FBXL3	0.141	0.821	0.161
GAL3ST3*	0.965	0.924	0.738
IDUA	0.417	0.7	0.24
ITGB1BP1	0.576	0.267	0.395
LARGE	0.759	0.387	0.265
LHPP	0.013	0.21	0.321
LOC100192204:NMT2	0.117	0.253	0.262
PRKCQ	0.391	0.614	0.613
RG9MTD1	0.476	0.002	0.16
SLC19A1	0.053	0.395	0.389
TBCK	0.386	0.454	0.345
USP12	0.421	0.259	0.465
ZFYVE1	0.442	0.119	0.493
ZNF226	0.674	0.321	0.428
ZNF580	0.22	0.626	0.172
ANGPTL6	0.198	0.543	0.056
BCKDHB	0.431	0.095	0.333
BLZF1	0.41	0.192	0.46
BTN2A1	0.796	0.004	0.022
C20orf96	0.464	0.265	0.33
C7orf30	0.531	0.257	0.364
CCL5	0.059	0.258	0.108
CCNF	0.12	0.42	0.03
CDC40	0.291	0.163	0.019
FAM103A1	0.404	0.101	0.254
FAM118B	0.465	0.195	0.064
FAM35A	0.659	0.027	0.112
FGD6	0.133	0.278	0.015
G2E3	0.674	0.063	0.909
HAUS6:SCARNA8	0.531	0.207	0.399
KATNA1	0.347	0.191	0.094
LOC400931:MIR3619:MIRLET7A3:MIRLET7B	0.022	0.103	0.414
MCTS1	0.331	0.002	0.012
MFHAS1	0.306	0.686	0.177
MIR1231:NAV1	0.251	0.461	0.027
MOBKL3	0.613	0.022	0.148
MTL5	0.639	0.511	0.293
NOL10	0.475	0.223	0.106
NOL3	0.161	0.747	0.367
OGG1	0.057	0.168	0.09
PHF5A	0.447	0.021	0.05
RAB2B	0.194	0.438	0.107
RAC3	0.084	0.326	1
RBFA	0.363	0.629	0.612
RGL1	0.73	0.093	0.041
TMEM160	0.397	0.686	0.46
TOP3A	0.465	0.079	0.114
TOPORS	0.677	0.367	0.383
TRAIP	0.197	0.606	0.143
TTC27	0.454	0.422	0.122
VPS33B	0.569	0.062	0.119
ZNF304	0.518	0.009	0.26
CRYZL1	0.127	0.776	0.625
FAM116A	0.12	0.049	0.029
FAM169A	0.242	0.481	0.713
FEZ2	0.244	0.525	0.177
HOOK1	0.736	0.017	0.679
HRH1	0.199	0.737	0.478
INPP5D	0.601	0.345	0.013
JARID2	0.478	0.097	0.142
KIF3A	0.155	0.267	0.112
LOC642846	0.126	0.329	0.168
LYAR	0.621	0.388	0.606
MARCH9	0.236	0.672	0.25
NCRNA00219:SNORA13	0.141	0.784	0.105
NCRNA00265	0.122	0.191	0.182
PCYT1A	0.385	0.128	0.061
PTPN21	0.151	0.756	0.52
PTS	0.381	0.027	0.973
RAGE	0.357	0.336	0.202
RAP1A	0.516	0.385	0.259
RHBDF1	0.018	0.139	0.072
SLC22A18	0.069	0.38	0.213
SOD3	0.04	0.143	0.088
SRP19	0.617	0.005	0.301
TANK	0.564	0.222	0.081
TATDN1	0.181	0.007	0.863
TGFB1	0.537	0.1	0.036
TOR1B	0.601	0.21	0.529
TST	0.464	0.523	0.123
VLDLR	0.403	0.842	0.47
ZC3H8	0.436	0.472	0.584
ZNF10	0.11	0.599	0.208
ZNF436	0.208	0.29	0.029
B3GALNT1	0.138	0.608	0.068
BIVM	0.14	0.472	0.034
C2orf7	0.04	0.122	0.24
EIF1B	0.303	0.382	0.003
ENTPD4	0.042	0.026	0.01
ESCO1	0.766	0.068	0.402
EXOC2:HUS1B	0.773	0.005	0.215
FAM104A	0.418	0.149	0.328
FLJ35390	0.073	0.203	0.012
GOLGA8A:MIR1233-1:MIR1233-2	0.641	0.562	0.567
GSDMB	0.575	0.18	0.081
HAUS7	0.247	0.583	0.06
KCTD9	0.196	0.825	0.805
MFI2	0.664	0.494	0.062
MIB1	0.445	0.116	0.567
MME	0.06	0.142	0.882
MORN4	0.01	0.021	0.238
MRPL14	0.684	0.008	0.078
MSH3	0.159	0.206	0.02
OXNAD1	0.848	0.024	0.617
PAAF1	0.283	0.559	0.222
PLAT	0.225	0.73	0.03
PMS1	0.53	0.087	0.58
RHBDL2	0.353	0.349	0.052
ROBLD3	0.251	0.737	0.209
SLC9A11	0.432	0.786	0.755
SNPH	0.069	0.319	0.581
TLR3	0.705	0.592	0.151
TMEM135	0.229	0.614	0.185
TRIM58	0.152	0.17	0.724
UFD1L	0.254	0.005	0.203
UHRF1BP1L	0.557	0.252	0.17
USP37	0.397	0.614	0.588
WDR36	0.484	0.122	0.212
WDR77	0.391	0.164	0.074
XRCC2	0.155	0.036	0.016
ACADS	0.13	0.35	0.015
ACAT2	0.608	0.013	0.292
AKAP11	0.24	0.779	0.148
AKTIP	0.323	0.444	0.056
AP3S1	0.383	0.223	0.131
B3GNT3	0.567	0.984	0.75
C16orf88	0.442	0.101	0.147
CDKN1A	0.113	0.441	0.625
CEP152	0.885	0.075	0.995
CNOT6L	0.264	0.01	0.14
COL15A1	0.521	0.533	0.325
DCP2	0.392	0.078	0.11
DNAJC19	0.563	0.243	0.314
DNAL1	0.286	0.112	0.025
DNM3:MIR3120	0.122	0.346	0.363
EMILIN3	0.023	0.11	0.111
GLI4	0.604	0.55	0.644
GMCL1	0.569	0.002	0.246
GNE	0.194	0.564	0.145
IGF1	0.386	0.379	0.052
IL27RA	0.357	0.678	0.374
KLF11	0.031	0.201	0.163
LTV1	0.581	0.008	0.146
LYRM1	0.622	0.514	0.765
MAGOHB	0.796	0.102	0.766
MED28	0.274	0.574	0.101
MED4	0.238	0.723	0.39
MIR4295:VTI1A	0.638	0.09	0.428
MRPL39	0.436	0.206	0.094
MT1X	0.83	0.56	0.211
NEK8	0.05	0.081	0.027
NRGN	0.455	0.646	0.916
PARD3B	0.055	0.328	0.248
POLR3D	0.218	0.677	0.334
POMT1	0.305	0.292	0.04
PPWD1	0.161	0.664	0.225
PRPS1	0.35	0.24	0.229
PUSL1	0.15	0.557	0.032
RRM2B	0.672	0.017	0.405
SAA1*	0.051	0.155	0.294
SUV39H1	0.257	0.74	0.206
TMEM57	0.174	0.792	0.606
TTC35	0.145	0.001	0.059
ZC3HAV1L	0.388	0.219	0.094
ZDHHC4	0.187	0.782	0.658
ZNF236	0.275	0.781	0.412
ZNF385A	0.122	0.309	0.036
ZNF706	0.469	0.012	0.981
AKR1C3	0.11	0.283	0.264
ARHGAP18	0.38	0.477	0.43
ARL4D	0.068	0.328	0.134
AVPI1	0.014	0.086	0.963
C11orf35	0.102	0.272	0.842
C1orf109	0.451	0.162	0.437
C8orf59	0.754	0.05	0.637
CCDC99	0.414	0.419	0.418
CLCN4	0.125	0.496	0.15
DPM3	0.583	0.207	0.084
DYRK4	0.056	0.272	0.338
ELL3	0.761	0.099	0.435
GALNT7	0.611	0.195	0.132
GPX3	0.342	0.162	0.102
HELLS	0.451	0.075	0.167
LATS2	0.056	0.166	0.368
LHFPL2	0.412	0.539	0.183
MAOA	0.021	0.215	0.421
MAPRE2	0.095	0.377	0.043
MRPL22	0.948	0.286	0.791
MRPL27	0.647	0.097	0.221
NOL7	0.852	0.008	0.555
NOP10	0.722	0.018	0.086
NSUN4	0.403	0.117	0.265
PDRG1	0.377	0.422	0.037
PRDM10	0.428	0.136	0.548
PSD	0.01	0.036	0.276
RAB31	0.573	0.43	0.186
RAB9A	0.343	0.114	0.018
RNF146	0.411	0.11	0.175
RNF2	0.344	0.751	0.139
S100A1	0.865	0.54	0.128
SLC12A2	0.531	0.588	0.238
SP2	0.33	0.393	0.698
TMCO6	0.208	0.758	0.221
UBE2B	0.72	0.273	0.566
UBLCP1	0.561	0.052	0.652
WIPF1	0.469	0.084	0.078
XRRA1	0.932	0.296	0.894
ZNF397	0.35	0.925	0.919
ZNF662	0.325	0.315	0.314
ADARB1	0.105	0.633	0.677
AP4B1	0.14	0.554	0.06
ARMCX3	0.363	0.667	0.331
ATP10A	0.045	0.023	0.035
C17orf96	0.162	0.575	0.008
C2orf69	0.554	0.036	0.461
C3orf39	0.032	0.131	0.259
C4orf41	0.258	0.533	0.264
CASP9	0.069	0.342	0.031
CPT2	0.396	0.05	0.055
DKK2	0.102	0.276	0.495
DMD	0.04	0.145	0.958
EME1	0.572	0.022	0.423
GLDN*	0.392	0.37	0.1
GPR116	0.719	0.155	0.648
HCG18	0.445	0.025	0.828
LIME1	0.695	0.269	0.135
LOC100132832	0.026	0.064	0.168
MMGT1	0.647	0.014	0.175
NUDT9	0.776	0.083	0.751
PEX11B	0.352	0.543	0.31
PIM2	0.298	0.035	0.442
QPCTL	0.161	0.217	0.125
RCHY1	0.294	0.334	0.119
RRAS	0.29	0.542	0.232
RWDD1	0.281	0.75	0.07
SAC3D1	0.196	0.964	0.586
SCNM1	0.204	0.372	0.003
SSSCA1	0.31	0.06	0.022
TMEM175	0.115	0.763	0.395
TMEM184A	0.087	0.488	0.178
VDR	0.196	0.114	0.004
WASH1	0.272	0.366	0.06
WASH2P	0.258	0.221	0.013
ABHD4	0.538	0.248	0.054
APOLD1:MIR613	0.155	0.479	0.313
ARV1	0.661	0.288	0.303
ATXN3	0.427	0.054	0.091
C14orf153	0.445	0.006	0.005
C18orf19	0.345	0.045	0.065
C4orf19	0.018	0.066	0.105
CDCA2	0.346	0.588	0.237
CDKN2AIP	0.085	0.579	0.253
CLIP3	0.084	0.315	0.611
DDT	0.274	0.156	0.11
DYSF	0.302	0.043	0.024
EEFSEC:MIR1280	0.319	0.801	0.456
FANCC	0.274	0.902	0.634
GALT	0.113	0.584	0.554
GLI2	0.023	0.074	0.319
HIST3H2A	0.88	0.315	0.412
HLA-DQB1	0.035	0.031	0.566
HSD17B1	0.15	0.623	0.076
ISOC1	0.286	0.669	0.709
KIAA0427	0.287	0.601	0.038
KLHL25:MIR1276	0.304	0.863	0.704
LACTB	0.241	0.03	0.084
MAP2K5	0.562	0.062	0.143
MCM3AP-AS1	0.15	0.905	0.691
MXRA7	0.354	0.512	0.222
NSMCE1	0.05	0.26	0.034
OBFC2A	0.764	0.016	0.151
PAPD4	0.19	0.954	0.594
PAPOLG	0.271	0.774	0.392
PMS2P1	0.487	0.065	0.594
POLE4	0.676	0.055	0.371
PRRG1	0.491	0.8	0.892
SFXN5	0.38	0.673	0.593
SGOL2	0.267	0.725	0.011
SH3BGRL2	0.419	0.288	0.647
SSBP2	0.08	0.342	0.651
ST6GALNAC5	0.401	0.101	0.155
STIL	0.422	0.036	0.091
TRIM52	0.221	0.8	0.21
ZFPM2	0.68	0.859	0.436
ZNF143	0.172	0.628	0.229
ZNF14	0.135	0.497	0.553
ZNF367	0.61	0.334	0.02
ARL6IP6	0.295	0.818	0.575
ARRDC2	0.198	0.686	0.155
B4GALT7	0.043	0.287	0.058
